,date,home_team,score,away_team
2548,28-10-2023,Benfica,1 - 1,Casa Pia
2549,05-11-2023,Casa Pia,0 - 1,Vizela
2550,10-11-2023,Estoril,4 - 0,Casa Pia
2551,02-12-2023,Casa Pia,1 - 0,Portimonense SC
2552,09-12-2023,Porto,3 - 1,Casa Pia
2553,17-12-2023,Chaves,1 - 3,Casa Pia
2554,30-12-2023,Casa Pia,1 - 3,Sp Braga
2555,08-01-2024,Moreirense,1 - 4,Casa Pia
2556,13-01-2024,Casa Pia,0 - 2,FC Famalicão
2557,20-01-2024,Casa Pia,? - ?,Farense
2558,13-08-2023,Rio Ave,2 - 0,Chaves
2559,19-08-2023,Chaves,2 - 4,Sp Braga
2560,26-08-2023,Farense,5 - 0,Chaves
2561,03-09-2023,Chaves,1 - 2,Moreirense
2562,18-09-2023,Boavista,4 - 1,Chaves
2563,24-09-2023,Chaves,2 - 2,Estrela
2564,01-10-2023,Arouca,0 - 2,Chaves
2565,07-10-2023,Chaves,4 - 2,Gil Vicente
2566,28-10-2023,Guimaraes,5 - 0,Chaves
2567,04-11-2023,Chaves,0 - 2,Benfica
2568,11-11-2023,Portimonense SC,2 - 1,Chaves
2569,01-12-2023,Chaves,2 - 1,Vizela
2570,10-12-2023,Estoril,4 - 0,Chaves
2571,17-12-2023,Chaves,1 - 3,Casa Pia
2572,29-12-2023,Porto,1 - 0,Chaves
2573,07-01-2024,FC Famalicão,2 - 2,Chaves
2574,13-01-2024,Chaves,0 - 3,Sp Lisbon
2575,21-01-2024,Chaves,? - ?,Rio Ave
2576,13-08-2023,Arouca,4 - 3,Estoril
2577,20-08-2023,Estoril,2 - 0,Rio Ave
2578,25-08-2023,Estrela,2 - 1,Estoril
2579,03-09-2023,Estoril,1 - 2,Boavista
2580,17-09-2023,Gil Vicente,5 - 3,Estoril
2581,23-09-2023,Estoril,2 - 2,Vizela
2582,01-10-2023,Guimaraes,3 - 2,Estoril
2583,07-10-2023,Estoril,0 - 1,Benfica
2584,28-10-2023,Portimonense SC,1 - 0,Estoril
2585,03-11-2023,Porto,0 - 1,Estoril
2586,10-11-2023,Estoril,4 - 0,Casa Pia
2587,03-12-2023,Sp Braga,3 - 1,Estoril
2588,10-12-2023,Estoril,4 - 0,Chaves
2589,17-12-2023,FC Famalicão,1 - 1,Estoril
2590,30-12-2023,Estoril,4 - 0,Farense
2591,05-01-2024,Sp Lisbon,5 - 1,Estoril
2592,13-01-2024,Estoril,1 - 3,Moreirense
2593,20-01-2024,Estoril,? - ?,Arouca
2594,13-08-2023,Estrela,0 - 1,Guimaraes
2595,19-08-2023,Benfica,2 - 0,Estrela
2596,25-08-2023,Estrela,2 - 1,Estoril
2597,02-09-2023,Portimonense SC,1 - 1,Estrela
2598,15-09-2023,Estrela,0 - 1,Porto
2599,24-09-2023,Chaves,2 - 2,Estrela
2600,28-09-2023,Estrela,2 - 4,Sp Braga
2601,08-10-2023,Casa Pia,0 - 1,Estrela
2602,29-10-2023,Estrela,1 - 0,FC Famalicão
2603,05-11-2023,Sp Lisbon,3 - 2,Estrela
2604,11-11-2023,Estrela,0 - 1,Moreirense
2605,02-12-2023,Rio Ave,1 - 1,Estrela
2606,10-12-2023,Estrela,3 - 1,Boavista
2607,15-12-2023,Farense,0 - 0,Estrela
2608,28-12-2023,Estrela,1 - 4,Arouca
2609,06-01-2024,Estrela,1 - 1,Vizela
2610,14-01-2024,Gil Vicente,1 - 1,Estrela
2611,21-01-2024,Guimaraes,? - ?,Estrela
2612,11-08-2023,Sp Braga,1 - 2,FC Famalicão
2613,21-08-2023,FC Famalicão,0 - 0,Moreirense
2614,27-08-2023,Sp Lisbon,1 - 0,FC Famalicão
2615,02-09-2023,FC Famalicão,1 - 0,Farense
2616,16-09-2023,Rio Ave,1 - 1,FC Famalicão
2617,22-09-2023,FC Famalicão,1 - 0,Arouca
2618,30-09-2023,Boavista,2 - 2,FC Famalicão
2619,08-10-2023,FC Famalicão,1 - 3,Guimaraes
2620,29-10-2023,Estrela,1 - 0,FC Famalicão
2621,04-11-2023,FC Famalicão,3 - 1,Gil Vicente
2622,11-11-2023,Vizela,0 - 0,FC Famalicão
2623,02-12-2023,FC Famalicão,0 - 3,Porto
2624,09-12-2023,Portimonense SC,1 - 1,FC Famalicão
2625,17-12-2023,FC Famalicão,1 - 1,Estoril
2626,29-12-2023,Benfica,3 - 0,FC Famalicão
2627,07-01-2024,FC Famalicão,2 - 2,Chaves
2628,13-01-2024,Casa Pia,0 - 2,FC Famalicão
2629,18-01-2024,FC Famalicão,? - ?,Sp Braga
2630,12-08-2023,Farense,0 - 3,Casa Pia
2631,20-08-2023,Porto,2 - 1,Farense
2632,26-08-2023,Farense,5 - 0,Chaves
2633,02-09-2023,FC Famalicão,1 - 0,Farense
2634,16-09-2023,Farense,3 - 1,Sp Braga
2635,23-09-2023,Moreirense,1 - 0,Farense
2636,30-09-2023,Farense,2 - 3,Sp Lisbon
2637,07-10-2023,Farense,0 - 0,Vizela
2638,29-10-2023,Rio Ave,3 - 4,Farense
2639,06-11-2023,Farense,2 - 0,Arouca
2640,12-11-2023,Boavista,1 - 3,Farense
2641,02-12-2023,Farense,1 - 2,Guimaraes
2642,08-12-2023,Benfica,1 - 1,Farense
2643,15-12-2023,Farense,0 - 0,Estrela
2644,30-12-2023,Estoril,4 - 0,Farense
2645,06-01-2024,Farense,1 - 0,Gil Vicente
2646,12-01-2024,Portimonense SC,1 - 0,Farense
2647,20-01-2024,Casa Pia,? - ?,Farense
2648,12-08-2023,Gil Vicente,5 - 0,Portimonense SC
2649,19-08-2023,Guimaraes,2 - 1,Gil Vicente
2650,26-08-2023,Gil Vicente,2 - 3,Benfica
2651,01-09-2023,Vizela,1 - 0,Gil Vicente
2652,17-09-2023,Gil Vicente,5 - 3,Estoril
2653,23-09-2023,Porto,2 - 1,Gil Vicente
2654,02-10-2023,Gil Vicente,2 - 0,Casa Pia
2655,07-10-2023,Chaves,4 - 2,Gil Vicente
2656,28-10-2023,Gil Vicente,3 - 3,Sp Braga
2657,04-11-2023,FC Famalicão,3 - 1,Gil Vicente
2658,12-11-2023,Gil Vicente,1 - 1,Rio Ave
2659,04-12-2023,Sp Lisbon,3 - 1,Gil Vicente
2660,11-12-2023,Gil Vicente,1 - 1,Moreirense
2661,16-12-2023,Arouca,3 - 0,Gil Vicente
2662,30-12-2023,Gil Vicente,1 - 0,Boavista
2663,06-01-2024,Farense,1 - 0,Gil Vicente
2664,14-01-2024,Gil Vicente,1 - 1,Estrela
2665,21-01-2024,Portimonense SC,? - ?,Gil Vicente
2666,13-08-2023,Estrela,0 - 1,Guimaraes
2667,19-08-2023,Guimaraes,2 - 1,Gil Vicente
2668,27-08-2023,Guimaraes,2 - 0,Vizela
2669,02-09-2023,Benfica,4 - 0,Guimaraes
2670,17-09-2023,Guimaraes,1 - 2,Portimonense SC
2671,23-09-2023,Casa Pia,0 - 0,Guimaraes
2672,01-10-2023,Guimaraes,3 - 2,Estoril
2673,08-10-2023,FC Famalicão,1 - 3,Guimaraes
2674,28-10-2023,Guimaraes,5 - 0,Chaves
2675,05-11-2023,Moreirense,1 - 0,Guimaraes
2676,11-11-2023,Guimaraes,1 - 2,Porto
2677,02-12-2023,Farense,1 - 2,Guimaraes
2678,09-12-2023,Guimaraes,3 - 2,Sp Lisbon
2679,16-12-2023,Boavista,1 - 1,Guimaraes
2680,23-12-2023,Guimaraes,1 - 0,Rio Ave
2681,06-01-2024,Sp Braga,1 - 1,Guimaraes
2682,15-01-2024,Guimaraes,2 - 1,Arouca
2683,21-01-2024,Guimaraes,? - ?,Estrela
2684,14-08-2023,Moreirense,1 - 2,Porto
2685,21-08-2023,FC Famalicão,0 - 0,Moreirense
2686,03-09-2023,Chaves,1 - 2,Moreirense
2687,09-09-2023,Moreirense,2 - 3,Sp Braga
2688,17-09-2023,Sp Lisbon,3 - 0,Moreirense
2689,23-09-2023,Moreirense,1 - 0,Farense
2690,01-10-2023,Rio Ave,0 - 4,Moreirense
2691,06-10-2023,Moreirense,1 - 1,Boavista
2692,27-10-2023,Arouca,0 - 1,Moreirense
2693,05-11-2023,Moreirense,1 - 0,Guimaraes
2694,11-11-2023,Estrela,0 - 1,Moreirense
2695,03-12-2023,Moreirense,0 - 0,Benfica
2696,11-12-2023,Gil Vicente,1 - 1,Moreirense
2697,17-12-2023,Moreirense,5 - 2,Portimonense SC
2698,23-12-2023,Vizela,0 - 0,Moreirense
2699,08-01-2024,Moreirense,1 - 4,Casa Pia
2700,13-01-2024,Estoril,1 - 3,Moreirense
2701,20-01-2024,Porto,? - ?,Moreirense
2702,12-08-2023,Gil Vicente,5 - 0,Portimonense SC
2703,19-08-2023,Portimonense SC,1 - 4,Boavista
2704,26-08-2023,Arouca,1 - 1,Portimonense SC
2705,02-09-2023,Portimonense SC,1 - 1,Estrela
2706,17-09-2023,Guimaraes,1 - 2,Portimonense SC
2707,24-09-2023,Portimonense SC,1 - 3,Benfica
2708,30-09-2023,Vizela,2 - 3,Portimonense SC
2709,08-10-2023,Porto,1 - 0,Portimonense SC
2710,28-10-2023,Portimonense SC,1 - 0,Estoril
2711,04-11-2023,Sp Braga,6 - 1,Portimonense SC
2712,11-11-2023,Portimonense SC,2 - 1,Chaves
2713,02-12-2023,Casa Pia,1 - 0,Portimonense SC
2714,09-12-2023,Portimonense SC,1 - 1,FC Famalicão
2715,17-12-2023,Moreirense,5 - 2,Portimonense SC
2716,30-12-2023,Portimonense SC,1 - 2,Sp Lisbon
2717,07-01-2024,Rio Ave,2 - 0,Portimonense SC
2718,12-01-2024,Portimonense SC,1 - 0,Farense
2719,21-01-2024,Portimonense SC,? - ?,Gil Vicente
2720,14-08-2023,Moreirense,1 - 2,Porto
2721,20-08-2023,Porto,2 - 1,Farense
2722,28-08-2023,Rio Ave,1 - 2,Porto
2723,03-09-2023,Porto,1 - 1,Arouca
2724,15-09-2023,Estrela,0 - 1,Porto
2725,23-09-2023,Porto,2 - 1,Gil Vicente
2726,29-09-2023,Benfica,1 - 0,Porto
2727,08-10-2023,Porto,1 - 0,Portimonense SC
2728,29-10-2023,Vizela,0 - 2,Porto
2729,03-11-2023,Porto,0 - 1,Estoril
2730,11-11-2023,Guimaraes,1 - 2,Porto
2731,02-12-2023,FC Famalicão,0 - 3,Porto
2732,09-12-2023,Porto,3 - 1,Casa Pia
2733,18-12-2023,Sp Lisbon,2 - 0,Porto
2734,29-12-2023,Porto,1 - 0,Chaves
2735,05-01-2024,Boavista,1 - 1,Porto
2736,14-01-2024,Porto,2 - 0,Sp Braga
2737,20-01-2024,Porto,? - ?,Moreirense
2738,13-08-2023,Rio Ave,2 - 0,Chaves
2739,20-08-2023,Estoril,2 - 0,Rio Ave
2740,28-08-2023,Rio Ave,1 - 2,Porto
2741,02-09-2023,Casa Pia,1 - 1,Rio Ave
2742,16-09-2023,Rio Ave,1 - 1,FC Famalicão
2743,25-09-2023,Sp Lisbon,2 - 0,Rio Ave
2744,01-10-2023,Rio Ave,0 - 4,Moreirense
2745,07-10-2023,Sp Braga,2 - 1,Rio Ave
2746,29-10-2023,Rio Ave,3 - 4,Farense
2747,05-11-2023,Rio Ave,2 - 0,Boavista
2748,12-11-2023,Gil Vicente,1 - 1,Rio Ave
2749,02-12-2023,Rio Ave,1 - 1,Estrela
2750,10-12-2023,Arouca,2 - 2,Rio Ave
2751,16-12-2023,Rio Ave,1 - 1,Vizela
2752,23-12-2023,Guimaraes,1 - 0,Rio Ave
2753,07-01-2024,Rio Ave,2 - 0,Portimonense SC
2754,14-01-2024,Benfica,4 - 1,Rio Ave
2755,21-01-2024,Chaves,? - ?,Rio Ave
2756,11-08-2023,Sp Braga,1 - 2,FC Famalicão
2757,19-08-2023,Chaves,2 - 4,Sp Braga
2758,03-09-2023,Sp Braga,1 - 1,Sp Lisbon
2759,09-09-2023,Moreirense,2 - 3,Sp Braga
2760,16-09-2023,Farense,3 - 1,Sp Braga
2761,24-09-2023,Sp Braga,4 - 1,Boavista
2762,28-09-2023,Estrela,2 - 4,Sp Braga
2763,07-10-2023,Sp Braga,2 - 1,Rio Ave
2764,28-10-2023,Gil Vicente,3 - 3,Sp Braga
2765,04-11-2023,Sp Braga,6 - 1,Portimonense SC
2766,12-11-2023,Arouca,0 - 1,Sp Braga
2767,03-12-2023,Sp Braga,3 - 1,Estoril
2768,08-12-2023,Vizela,1 - 3,Sp Braga
2769,17-12-2023,Sp Braga,0 - 1,Benfica
2770,30-12-2023,Casa Pia,1 - 3,Sp Braga
2771,06-01-2024,Sp Braga,1 - 1,Guimaraes
2772,14-01-2024,Porto,2 - 0,Sp Braga
2773,18-01-2024,FC Famalicão,? - ?,Sp Braga
2774,12-08-2023,Sp Lisbon,3 - 2,Vizela
2775,18-08-2023,Casa Pia,1 - 2,Sp Lisbon
2776,27-08-2023,Sp Lisbon,1 - 0,FC Famalicão
2777,03-09-2023,Sp Braga,1 - 1,Sp Lisbon
2778,17-09-2023,Sp Lisbon,3 - 0,Moreirense
2779,25-09-2023,Sp Lisbon,2 - 0,Rio Ave
2780,30-09-2023,Farense,2 - 3,Sp Lisbon
2781,08-10-2023,Sp Lisbon,2 - 1,Arouca
2782,30-10-2023,Boavista,0 - 2,Sp Lisbon
2783,05-11-2023,Sp Lisbon,3 - 2,Estrela
2784,12-11-2023,Benfica,2 - 1,Sp Lisbon
2785,04-12-2023,Sp Lisbon,3 - 1,Gil Vicente
2786,09-12-2023,Guimaraes,3 - 2,Sp Lisbon
2787,18-12-2023,Sp Lisbon,2 - 0,Porto
2788,30-12-2023,Portimonense SC,1 - 2,Sp Lisbon
2789,05-01-2024,Sp Lisbon,5 - 1,Estoril
2790,13-01-2024,Chaves,0 - 3,Sp Lisbon
2791,18-01-2024,Vizela,? - ?,Sp Lisbon
2792,12-08-2023,Sp Lisbon,3 - 2,Vizela
2793,20-08-2023,Vizela,2 - 2,Arouca
2794,27-08-2023,Guimaraes,2 - 0,Vizela
2795,01-09-2023,Vizela,1 - 0,Gil Vicente
2796,16-09-2023,Vizela,1 - 2,Benfica
2797,23-09-2023,Estoril,2 - 2,Vizela
2798,30-09-2023,Vizela,2 - 3,Portimonense SC
2799,07-10-2023,Farense,0 - 0,Vizela
2800,29-10-2023,Vizela,0 - 2,Porto
2801,05-11-2023,Casa Pia,0 - 1,Vizela
2802,11-11-2023,Vizela,0 - 0,FC Famalicão
2803,01-12-2023,Chaves,2 - 1,Vizela
2804,08-12-2023,Vizela,1 - 3,Sp Braga
2805,16-12-2023,Rio Ave,1 - 1,Vizela
2806,23-12-2023,Vizela,0 - 0,Moreirense
2807,06-01-2024,Estrela,1 - 1,Vizela
2808,14-01-2024,Vizela,1 - 4,Boavista
2809,18-01-2024,Vizela,? - ?,Sp Lisbon
2810,13-08-2023,Adana Demirspor,2 - 1,Rizespor
2811,21-08-2023,Ankaragucu,1 - 1,Adana Demirspor
2812,03-09-2023,Hatayspor,3 - 3,Adana Demirspor
2813,16-09-2023,Adana Demirspor,3 - 0,Pendikspor
2814,24-09-2023,Kasimpasa,2 - 1,Adana Demirspor
2815,27-09-2023,Adana Demirspor,4 - 2,Besiktas
2816,01-10-2023,Adana Demirspor,4 - 0,Alanyaspor
2817,06-10-2023,Adana Demirspor,1 - 0,Trabzonspor
2818,23-10-2023,Fatih Karagümrük,2 - 0,Adana Demirspor
2819,28-10-2023,Adana Demirspor,3 - 0,Konyaspor
2820,05-11-2023,Sivasspor,1 - 1,Adana Demirspor
2821,12-11-2023,Adana Demirspor,0 - 0,Fenerbahce
2822,26-11-2023,Kayserispor,1 - 1,Adana Demirspor
2823,02-12-2023,Adana Demirspor,2 - 3,Samsunspor
2824,08-12-2023,Galatasaray,3 - 1,Adana Demirspor
2825,19-12-2023,Gaziantep BBK,2 - 2,Adana Demirspor
2826,24-12-2023,Adana Demirspor,2 - 1,Antalyaspor
2827,06-01-2024,Buyuksehyr,0 - 0,Adana Demirspor
2828,10-01-2024,Adana Demirspor,2 - 2,İstanbulspor
2829,13-01-2024,Rizespor,1 - 0,Adana Demirspor
2830,20-01-2024,Adana Demirspor,? - ?,Ankaragucu
2831,14-08-2023,Alanyaspor,2 - 0,Buyuksehyr
2832,19-08-2023,Rizespor,0 - 0,Alanyaspor
2833,27-08-2023,Alanyaspor,0 - 0,Hatayspor
2834,02-09-2023,Pendikspor,1 - 1,Alanyaspor
2835,17-09-2023,Alanyaspor,3 - 3,Kasimpasa
2836,24-09-2023,Alanyaspor,0 - 1,Fenerbahce
2837,01-10-2023,Adana Demirspor,4 - 0,Alanyaspor
2838,06-10-2023,Alanyaspor,2 - 1,Fatih Karagümrük
2839,23-10-2023,Trabzonspor,1 - 0,Alanyaspor
2840,28-10-2023,Alanyaspor,1 - 2,Sivasspor
2841,06-11-2023,Kayserispor,1 - 0,Alanyaspor
2842,11-11-2023,Alanyaspor,0 - 3,Gaziantep BBK
2843,25-11-2023,Galatasaray,4 - 0,Alanyaspor
2844,02-12-2023,Alanyaspor,2 - 2,Konyaspor
2845,10-12-2023,İstanbulspor,0 - 1,Alanyaspor
2846,21-12-2023,Besiktas,1 - 3,Alanyaspor
2847,25-12-2023,Alanyaspor,3 - 1,Samsunspor
2848,05-01-2024,Antalyaspor,0 - 0,Alanyaspor
2849,09-01-2024,Alanyaspor,1 - 1,Ankaragucu
2850,13-01-2024,Buyuksehyr,3 - 2,Alanyaspor
2851,20-01-2024,Alanyaspor,? - ?,Rizespor
2852,12-08-2023,Kasimpasa,3 - 2,Ankaragucu
2853,21-08-2023,Ankaragucu,1 - 1,Adana Demirspor
2854,27-08-2023,Fatih Karagümrük,1 - 1,Ankaragucu
2855,03-09-2023,Ankaragucu,0 - 1,Fenerbahce
2856,18-09-2023,Sivasspor,1 - 3,Ankaragucu
2857,24-09-2023,Ankaragucu,1 - 1,Konyaspor
2858,30-09-2023,Galatasaray,2 - 1,Ankaragucu
2859,07-10-2023,Ankaragucu,3 - 0,Kayserispor
2860,22-10-2023,İstanbulspor,2 - 1,Ankaragucu
2861,29-10-2023,Ankaragucu,2 - 0,Samsunspor
2862,05-11-2023,Buyuksehyr,3 - 3,Ankaragucu
2863,10-11-2023,Ankaragucu,0 - 4,Antalyaspor
2864,25-11-2023,Gaziantep BBK,0 - 1,Ankaragucu
2865,03-12-2023,Ankaragucu,1 - 1,Besiktas
2866,11-12-2023,Ankaragucu,1 - 1,Rizespor
2867,21-12-2023,Ankaragucu,0 - 0,Hatayspor
2868,25-12-2023,Pendikspor,1 - 1,Ankaragucu
2869,06-01-2024,Ankaragucu,0 - 1,Trabzonspor
2870,09-01-2024,Alanyaspor,1 - 1,Ankaragucu
2871,13-01-2024,Ankaragucu,3 - 1,Kasimpasa
2872,20-01-2024,Adana Demirspor,? - ?,Ankaragucu
2873,11-08-2023,Trabzonspor,1 - 0,Antalyaspor
2874,18-08-2023,Antalyaspor,1 - 1,Konyaspor
2875,26-08-2023,Sivasspor,1 - 1,Antalyaspor
2876,02-09-2023,Antalyaspor,1 - 1,Kayserispor
2877,17-09-2023,Fenerbahce,3 - 2,Antalyaspor
2878,23-09-2023,Antalyaspor,2 - 0,Samsunspor
2879,30-09-2023,İstanbulspor,1 - 2,Antalyaspor
2880,07-10-2023,Antalyaspor,0 - 2,Galatasaray
2881,21-10-2023,Gaziantep BBK,1 - 0,Antalyaspor
2882,29-10-2023,Antalyaspor,1 - 0,Buyuksehyr
2883,05-11-2023,Antalyaspor,3 - 2,Besiktas
2884,10-11-2023,Ankaragucu,0 - 4,Antalyaspor
2885,26-11-2023,Antalyaspor,0 - 0,Rizespor
2886,01-12-2023,Hatayspor,3 - 3,Antalyaspor
2887,09-12-2023,Antalyaspor,2 - 1,Fatih Karagümrük
2888,20-12-2023,Antalyaspor,0 - 0,Kasimpasa
2889,24-12-2023,Adana Demirspor,2 - 1,Antalyaspor
2890,05-01-2024,Antalyaspor,0 - 0,Alanyaspor
2891,09-01-2024,Pendikspor,0 - 1,Antalyaspor
2892,14-01-2024,Antalyaspor,1 - 1,Trabzonspor
2893,21-01-2024,Konyaspor,? - ?,Antalyaspor
2894,14-08-2023,Fatih Karagümrük,0 - 1,Besiktas
2895,20-08-2023,Besiktas,1 - 1,Pendikspor
2896,03-09-2023,Besiktas,2 - 0,Sivasspor
2897,17-09-2023,Trabzonspor,3 - 0,Besiktas
2898,24-09-2023,Besiktas,2 - 1,Kayserispor
2899,27-09-2023,Adana Demirspor,4 - 2,Besiktas
2900,01-10-2023,Konyaspor,0 - 2,Besiktas
2901,08-10-2023,Besiktas,2 - 0,İstanbulspor
2902,21-10-2023,Galatasaray,2 - 1,Besiktas
2903,30-10-2023,Besiktas,2 - 0,Gaziantep BBK
2904,05-11-2023,Antalyaspor,3 - 2,Besiktas
2905,12-11-2023,Besiktas,1 - 0,Buyuksehyr
2906,26-11-2023,Samsunspor,1 - 2,Besiktas
2907,03-12-2023,Ankaragucu,1 - 1,Besiktas
2908,09-12-2023,Besiktas,1 - 3,Fenerbahce
2909,21-12-2023,Besiktas,1 - 3,Alanyaspor
2910,25-12-2023,Hatayspor,1 - 2,Besiktas
2911,05-01-2024,Besiktas,1 - 3,Kasimpasa
2912,09-01-2024,Rizespor,0 - 4,Besiktas
2913,13-01-2024,Besiktas,3 - 0,Fatih Karagümrük
2914,20-01-2024,Pendikspor,? - ?,Besiktas
2915,14-08-2023,Alanyaspor,2 - 0,Buyuksehyr
2916,20-08-2023,Buyuksehyr,0 - 2,Fatih Karagümrük
2917,02-09-2023,Buyuksehyr,0 - 1,Konyaspor
2918,17-09-2023,İstanbulspor,0 - 2,Buyuksehyr
2919,23-09-2023,Buyuksehyr,1 - 2,Galatasaray
2920,28-09-2023,Fenerbahce,4 - 0,Buyuksehyr
2921,02-10-2023,Kayserispor,0 - 0,Buyuksehyr
2922,07-10-2023,Buyuksehyr,2 - 0,Gaziantep BBK
2923,22-10-2023,Samsunspor,0 - 0,Buyuksehyr
2924,29-10-2023,Antalyaspor,1 - 0,Buyuksehyr
2925,05-11-2023,Buyuksehyr,3 - 3,Ankaragucu
2926,12-11-2023,Besiktas,1 - 0,Buyuksehyr
2927,27-11-2023,Buyuksehyr,4 - 1,Pendikspor
2928,02-12-2023,Rizespor,3 - 2,Buyuksehyr
2929,10-12-2023,Buyuksehyr,1 - 0,Hatayspor
2930,19-12-2023,Buyuksehyr,3 - 1,Sivasspor
2931,23-12-2023,Trabzonspor,1 - 1,Buyuksehyr
2932,06-01-2024,Buyuksehyr,0 - 0,Adana Demirspor
2933,09-01-2024,Kasimpasa,0 - 3,Buyuksehyr
2934,13-01-2024,Buyuksehyr,3 - 2,Alanyaspor
2935,20-01-2024,Fatih Karagümrük,? - ?,Buyuksehyr
2936,14-08-2023,Fatih Karagümrük,0 - 1,Besiktas
2937,20-08-2023,Buyuksehyr,0 - 2,Fatih Karagümrük
2938,27-08-2023,Fatih Karagümrük,1 - 1,Ankaragucu
2939,01-09-2023,Rizespor,1 - 0,Fatih Karagümrük
2940,18-09-2023,Fatih Karagümrük,0 - 0,Hatayspor
2941,23-09-2023,Pendikspor,1 - 1,Fatih Karagümrük
2942,01-10-2023,Fatih Karagümrük,2 - 3,Kasimpasa
2943,06-10-2023,Alanyaspor,2 - 1,Fatih Karagümrük
2944,23-10-2023,Fatih Karagümrük,2 - 0,Adana Demirspor
2945,29-10-2023,Fatih Karagümrük,0 - 0,Trabzonspor
2946,05-11-2023,Konyaspor,1 - 1,Fatih Karagümrük
2947,11-11-2023,Fatih Karagümrük,3 - 0,Sivasspor
2948,26-11-2023,Fenerbahce,2 - 1,Fatih Karagümrük
2949,01-12-2023,Fatih Karagümrük,3 - 0,İstanbulspor
2950,09-12-2023,Antalyaspor,2 - 1,Fatih Karagümrük
2951,20-12-2023,Galatasaray,1 - 0,Fatih Karagümrük
2952,23-12-2023,Fatih Karagümrük,0 - 3,Gaziantep BBK
2953,06-01-2024,Samsunspor,1 - 0,Fatih Karagümrük
2954,10-01-2024,Fatih Karagümrük,4 - 1,Kayserispor
2955,13-01-2024,Besiktas,3 - 0,Fatih Karagümrük
2956,20-01-2024,Fatih Karagümrük,? - ?,Buyuksehyr
2957,13-08-2023,Fenerbahce,2 - 1,Gaziantep BBK
2958,21-08-2023,Samsunspor,0 - 2,Fenerbahce
2959,03-09-2023,Ankaragucu,0 - 1,Fenerbahce
2960,17-09-2023,Fenerbahce,3 - 2,Antalyaspor
2961,24-09-2023,Alanyaspor,0 - 1,Fenerbahce
2962,28-09-2023,Fenerbahce,4 - 0,Buyuksehyr
2963,01-10-2023,Fenerbahce,5 - 0,Rizespor
2964,08-10-2023,Kasimpasa,0 - 2,Fenerbahce
2965,22-10-2023,Fenerbahce,4 - 2,Hatayspor
2966,29-10-2023,Pendikspor,0 - 5,Fenerbahce
2967,04-11-2023,Fenerbahce,2 - 3,Trabzonspor
2968,12-11-2023,Adana Demirspor,0 - 0,Fenerbahce
2969,26-11-2023,Fenerbahce,2 - 1,Fatih Karagümrük
2970,04-12-2023,Fenerbahce,4 - 1,Sivasspor
2971,09-12-2023,Besiktas,1 - 3,Fenerbahce
2972,20-12-2023,Kayserispor,3 - 4,Fenerbahce
2973,24-12-2023,Fenerbahce,0 - 0,Galatasaray
2974,07-01-2024,İstanbulspor,1 - 5,Fenerbahce
2975,10-01-2024,Fenerbahce,7 - 1,Konyaspor
2976,14-01-2024,Gaziantep BBK,0 - 1,Fenerbahce
2977,21-01-2024,Fenerbahce,? - ?,Samsunspor
2978,12-08-2023,Kayserispor,0 - 0,Galatasaray
2979,19-08-2023,Galatasaray,2 - 0,Trabzonspor
2980,02-09-2023,Gaziantep BBK,0 - 3,Galatasaray
2981,16-09-2023,Galatasaray,4 - 2,Samsunspor
2982,23-09-2023,Buyuksehyr,1 - 2,Galatasaray
2983,26-09-2023,İstanbulspor,0 - 1,Galatasaray
2984,30-09-2023,Galatasaray,2 - 1,Ankaragucu
2985,07-10-2023,Antalyaspor,0 - 2,Galatasaray
2986,21-10-2023,Galatasaray,2 - 1,Besiktas
2987,28-10-2023,Rizespor,0 - 1,Galatasaray
2988,03-11-2023,Galatasaray,2 - 1,Kasimpasa
2989,11-11-2023,Hatayspor,2 - 1,Galatasaray
2990,25-11-2023,Galatasaray,4 - 0,Alanyaspor
2991,02-12-2023,Pendikspor,0 - 2,Galatasaray
2992,08-12-2023,Galatasaray,3 - 1,Adana Demirspor
2993,20-12-2023,Galatasaray,1 - 0,Fatih Karagümrük
2994,24-12-2023,Fenerbahce,0 - 0,Galatasaray
2995,07-01-2024,Galatasaray,3 - 0,Konyaspor
2996,11-01-2024,Sivasspor,1 - 1,Galatasaray
2997,15-01-2024,Galatasaray,2 - 1,Kayserispor
2998,21-01-2024,Trabzonspor,? - ?,Galatasaray
2999,13-08-2023,Fenerbahce,2 - 1,Gaziantep BBK
3000,20-08-2023,Gaziantep BBK,1 - 3,Sivasspor
3001,25-08-2023,Konyaspor,2 - 0,Gaziantep BBK
3002,02-09-2023,Gaziantep BBK,0 - 3,Galatasaray
3003,16-09-2023,Kayserispor,2 - 0,Gaziantep BBK
3004,22-09-2023,Gaziantep BBK,2 - 0,İstanbulspor
3005,29-09-2023,Samsunspor,1 - 2,Gaziantep BBK
3006,07-10-2023,Buyuksehyr,2 - 0,Gaziantep BBK
3007,21-10-2023,Gaziantep BBK,1 - 0,Antalyaspor
3008,30-10-2023,Besiktas,2 - 0,Gaziantep BBK
3009,06-11-2023,Gaziantep BBK,2 - 0,Rizespor
3010,11-11-2023,Alanyaspor,0 - 3,Gaziantep BBK
3011,25-11-2023,Gaziantep BBK,0 - 1,Ankaragucu
3012,03-12-2023,Kasimpasa,4 - 2,Gaziantep BBK
3013,10-12-2023,Gaziantep BBK,1 - 3,Trabzonspor
